ID	Sex
HG01802	1
HG01804	1
HG01805	1
HG01806	1
HG01807	1
HG01808	1
HG01809	1
HG01810	0
HG01811	0
HG01812	1
HG01813	1
HG01815	1
HG01816	0
HG01817	1
HG01840	0
HG01841	1
HG01842	0
HG01843	1
HG01844	0
HG01845	1
HG01846	0
HG01847	1
HG01848	1
HG01849	0
HG01850	1
HG01851	1
HG01852	0
HG01853	1
HG01855	1
HG01857	1
HG01858	1
HG01859	1
HG01860	0
HG01861	0
HG01862	1
HG01863	1
HG01864	0
HG01865	0
HG01866	0
HG01867	0
HG01868	1
HG01869	1
HG01870	1
HG01871	1
HG01872	0
HG01873	0
HG01874	1
HG01878	1
HG01879	0
HG01880	1
HG01882	0
HG01883	1
HG01885	0
HG01886	1
HG01889	1
HG01890	0
HG01892	0
HG01893	1
HG01894	1
HG01896	1
HG01912	0
HG01914	0
HG01915	1
HG01917	0
HG01918	1
HG01920	0
HG01921	1
HG01923	0
HG01924	1
HG01926	0
HG01927	1
HG01932	0
HG01933	1
HG01935	0
HG01936	1
HG01938	0
HG01939	1
HG01941	0
HG01942	1
HG01944	0
HG01945	1
HG01947	0
HG01948	1
HG01950	0
HG01951	1
HG01953	0
HG01954	1
HG01956	1
HG01958	1
HG01961	0
HG01965	1
HG01967	0
HG01968	1
HG01970	0
HG01971	1
HG01973	1
HG01974	0
HG01976	1
HG01977	0
HG01979	0
HG01980	1
HG01982	0
HG01985	1
HG01986	0
HG01988	0
HG01989	1
HG01990	0
HG01991	0
HG01992	1
HG01997	1
HG02002	0
HG02003	1
HG02006	1
HG02008	0
HG02009	0
HG02010	1
HG02012	1
HG02013	0
HG02014	0
HG02016	1
HG02017	0
HG02019	1
HG02020	0
HG02023	0
HG02025	1
HG02026	0
HG02028	1
HG02029	0
HG02031	1
HG02032	0
HG02035	0
HG02040	0
HG02047	0
HG02048	1
HG02049	1
HG02050	0
HG02051	0
HG02052	1
HG02053	0
HG02054	1
HG02057	1
HG02058	0
HG02060	1
HG02061	0
HG02064	0
HG02067	0
HG02069	1
HG02070	0
HG02072	1
HG02073	0
HG02075	1
HG02076	0
HG02078	1
HG02079	0
HG02081	1
HG02082	0
HG02084	1
HG02085	0
HG02086	1
HG02087	1
HG02088	0
HG02089	1
HG02090	0
HG02095	1
HG02102	1
HG02104	0
HG02105	1
HG02107	0
HG02108	1
HG02111	1
HG02113	1
HG02116	0
HG02121	1
HG02122	0
HG02127	1
HG02128	0
HG02130	1
HG02131	0
HG02133	1
HG02134	0
HG02136	1
HG02137	0
HG02138	0
HG02139	1
HG02140	1
HG02141	0
HG02142	1
HG02143	0
HG02144	1
HG02146	0
HG02147	1
HG02150	0
HG02151	1
HG02152	1
HG02153	1
HG02154	1
HG02155	1
HG02156	1
HG02164	1
HG02165	1
HG02166	1
HG02178	1
HG02179	1
HG02180	1
HG02181	1
HG02182	1
HG02184	1
HG02185	1
HG02186	1
HG02187	1
HG02188	1
HG02190	1
HG02215	1
HG02219	0
HG02220	1
HG02221	0
HG02223	1
HG02224	0
HG02230	1
HG02231	0
HG02232	1
HG02233	0
HG02235	1
HG02236	0
HG02238	0
HG02239	1
HG02250	0
HG02252	1
HG02253	0
HG02255	0
HG02256	1
HG02259	0
HG02260	1
HG02262	0
HG02265	0
HG02266	1
HG02271	0
HG02272	1
HG02274	0
HG02275	1
HG02277	0
HG02278	1
HG02281	0
HG02282	1
HG02283	0
HG02284	0
HG02285	0
HG02286	1
HG02291	0
HG02292	1
HG02298	1
HG02299	0
HG02301	1
HG02304	0
HG02307	0
HG02308	1
HG02309	1
HG02312	1
HG02314	0
HG02315	1
HG02317	0
HG02318	1
HG02322	1
HG02323	0
HG02325	1
HG02330	0
HG02332	0
HG02334	0
HG02337	1
HG02339	1
HG02343	0
HG02345	1
HG02348	1
HG02351	0
HG02353	0
HG02355	0
HG02356	0
